node_id,arrival_time,early_violation,late_violation,penalty
6,1.0,6.0,0.0,360.0
5,4.0,0.0,0.0,0.0
8,8.0,0.0,0.0,0.0
7,12.0,0.0,0.0,0.0
11,16.0,0.0,0.0,0.0
10,19.0,0.0,0.0,0.0
1,23.0,0.0,0.0,0.0
9,27.0,0.0,7.0,980.0
3,31.0,0.0,13.0,3380.0
12,34.0,0.0,21.0,8820.0
4,38.0,0.0,13.0,3380.0
15,44.0,0.0,24.0,11520.0
2,48.0,0.0,36.0,25920.0
14,53.0,0.0,35.0,24500.0
13,58.0,0.0,31.0,19220.0

# ==================================================
# Summary
# ==================================================
# Route,[0, 6, 5, 8, 7, 11, 10, 1, 9, 3, 12, 4, 15, 2, 14, 13, 0]
# Travel time,31.0000
# TW penalty,98080.0000
# Objective,98111.0000
# Customers served,15
# ==================================================
