node_id,arrival_time,early_violation,late_violation,penalty,vehicle_id
11,4.0,0.0,0.0,0.0,0
19,7.0,0.0,0.0,0.0,0
47,10.0,0.0,0.0,0.0,0
46,13.0,0.0,0.0,0.0,0
36,17.0,0.0,0.0,0.0,0
49,20.0,0.0,3.0,180.0,0
48,24.0,0.0,0.0,0.0,0
27,1.0,0.0,0.0,0.0,1
28,4.0,0.0,0.0,0.0,1
12,7.0,0.0,0.0,0.0,1
24,11.0,4.0,0.0,160.0,1
50,16.0,0.0,0.0,0.0,1
3,19.0,0.0,1.0,20.0,1
26,23.0,0.0,3.0,180.0,1
16,4.0,3.0,0.0,90.0,2
14,7.0,0.0,0.0,0.0,2
42,10.0,0.0,0.0,0.0,2
43,13.0,2.0,0.0,40.0,2
38,17.0,0.0,0.0,0.0,2
44,20.0,0.0,2.0,80.0,2
37,23.0,0.0,2.0,80.0,2
40,1.0,6.0,0.0,360.0,3
21,4.0,1.0,0.0,10.0,3
22,7.0,1.0,0.0,10.0,3
41,10.0,0.0,0.0,0.0,3
15,14.0,0.0,0.0,0.0,3
2,18.0,0.0,6.0,720.0,3
13,21.0,0.0,0.0,0.0,3
31,2.0,1.0,0.0,10.0,4
10,5.0,8.0,0.0,640.0,4
32,8.0,7.0,0.0,490.0,4
30,11.0,0.0,0.0,0.0,4
20,14.0,0.0,0.0,0.0,4
1,18.0,0.0,0.0,0.0,4
29,4.0,1.0,0.0,10.0,5
35,9.0,0.0,0.0,0.0,5
34,12.0,1.0,0.0,10.0,5
9,15.0,0.0,0.0,0.0,5
33,18.0,0.0,0.0,0.0,5
6,1.0,6.0,0.0,360.0,6
5,4.0,0.0,0.0,0.0,6
17,7.0,0.0,0.0,0.0,6
45,10.0,0.0,0.0,0.0,6
8,13.0,0.0,0.0,0.0,6
18,16.0,0.0,2.0,80.0,6
7,19.0,0.0,5.0,500.0,6
25,4.0,2.0,0.0,40.0,7
23,8.0,0.0,0.0,0.0,7
39,11.0,0.0,0.0,0.0,7
4,14.0,0.0,0.0,0.0,7
