0,127,127,28,34,34,28,34,34,28,34,34,0,0,0,0,0,0,28,34,34,0,0,0,0,0,0
127,0,127,34,34,34,34,34,34,34,34,34,0,0,0,0,0,0,34,34,34,0,0,0,0,0,0
127,127,0,34,34,34,34,34,34,34,34,34,0,1,1,0,1,1,34,34,34,0,1,1,0,1,1
28,34,34,0,127,127,28,34,34,0,0,0,28,34,34,0,0,0,0,0,0,28,34,34,0,0,0
34,34,34,127,0,127,34,34,34,0,0,0,34,34,34,0,0,0,0,0,0,34,34,34,0,0,0
34,34,34,127,127,0,34,34,34,0,1,1,34,34,34,0,1,1,0,1,1,34,34,34,0,1,1
28,34,34,28,34,34,0,127,127,0,0,0,0,0,0,28,34,34,0,0,0,0,0,0,28,34,34
34,34,34,34,34,34,127,0,127,0,0,0,0,0,0,34,34,34,0,0,0,0,0,0,34,34,34
34,34,34,34,34,34,127,127,0,0,1,1,0,1,1,34,34,34,0,1,1,0,1,1,34,34,34
28,34,34,0,0,0,0,0,0,0,127,127,28,34,34,28,34,34,28,34,34,0,0,0,0,0,0
34,34,34,0,0,1,0,0,1,127,0,127,34,34,34,34,34,34,34,34,34,0,0,0,0,0,0
34,34,34,0,0,1,0,0,1,127,127,0,34,34,34,34,34,34,34,34,34,0,0,1,0,0,1
0,0,0,28,34,34,0,0,0,28,34,34,0,127,127,28,34,34,0,0,0,28,34,34,0,0,0
0,0,1,34,34,34,0,0,1,34,34,34,127,0,127,34,34,34,0,0,0,34,34,34,0,0,0
0,0,1,34,34,34,0,0,1,34,34,34,127,127,0,34,34,34,0,0,1,34,34,34,0,0,1
0,0,0,0,0,0,28,34,34,28,34,34,28,34,34,0,127,127,0,0,0,0,0,0,28,34,34
0,0,1,0,0,1,34,34,34,34,34,34,34,34,34,127,0,127,0,0,0,0,0,0,34,34,34
0,0,1,0,0,1,34,34,34,34,34,34,34,34,34,127,127,0,0,0,1,0,0,1,34,34,34
28,34,34,0,0,0,0,0,0,28,34,34,0,0,0,0,0,0,0,127,127,28,34,34,28,34,34
34,34,34,0,0,1,0,0,1,34,34,34,0,0,0,0,0,0,127,0,127,34,34,34,34,34,34
34,34,34,0,0,1,0,0,1,34,34,34,0,0,1,0,0,1,127,127,0,34,34,34,34,34,34
0,0,0,28,34,34,0,0,0,0,0,0,28,34,34,0,0,0,28,34,34,0,127,127,28,34,34
0,0,1,34,34,34,0,0,1,0,0,0,34,34,34,0,0,0,34,34,34,127,0,127,34,34,34
0,0,1,34,34,34,0,0,1,0,0,1,34,34,34,0,0,1,34,34,34,127,127,0,34,34,34
0,0,0,0,0,0,28,34,34,0,0,0,0,0,0,28,34,34,28,34,34,28,34,34,0,127,127
0,0,1,0,0,1,34,34,34,0,0,0,0,0,0,34,34,34,34,34,34,34,34,34,127,0,127
0,0,1,0,0,1,34,34,34,0,0,1,0,0,1,34,34,34,34,34,34,34,34,34,127,127,0
