-1000,1000,1000,1000,1000,4,0,4,1000,5,0,5,1000,4,0,4
0,-1000,1000,1000,4,1000,4,0,5,1000,5,0,4,1000,4,0
0,0,-1000,1000,0,4,1000,4,0,5,1000,5,0,4,1000,4
0,0,0,-1000,4,0,4,1000,5,0,5,1000,4,0,4,1000
0,0,0,0,-1000,1000,1000,1000,1000,1,0,1,1000,1,0,1
0,0,0,0,0,-1000,1000,1000,1,1000,1,0,1,1000,1,0
0,0,0,0,0,0,-1000,1000,0,1,1000,1,0,1,1000,1
0,0,0,0,0,0,0,-1000,1,0,1,1000,1,0,1,1000
0,0,0,0,0,0,0,0,-1000,1000,1000,1000,1000,2,0,2
0,0,0,0,0,0,0,0,0,-1000,1000,1000,2,1000,2,0
0,0,0,0,0,0,0,0,0,0,-1000,1000,0,2,1000,2
0,0,0,0,0,0,0,0,0,0,0,-1000,2,0,2,1000
0,0,0,0,0,0,0,0,0,0,0,0,-1000,1000,1000,1000
0,0,0,0,0,0,0,0,0,0,0,0,0,-1000,1000,1000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1000,1000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1000
