0,127,75,75,75,75,75,75,0,0,0,0,75,75,0,0,0,0
127,0,75,75,75,75,75,75,0,2,0,2,75,75,0,2,0,2
75,75,0,127,75,75,0,0,75,75,0,0,0,0,75,75,0,0
75,75,127,0,75,75,0,2,75,75,0,2,0,2,75,75,0,2
75,75,75,75,0,127,0,0,0,0,75,75,0,0,0,0,75,75
75,75,75,75,127,0,0,2,0,2,75,75,0,2,0,2,75,75
75,75,0,0,0,0,0,127,75,75,75,75,75,75,0,0,0,0
75,75,0,2,0,2,127,0,75,75,75,75,75,75,0,0,0,0
0,0,75,75,0,0,75,75,0,127,75,75,0,0,75,75,0,0
0,2,75,75,0,2,75,75,127,0,75,75,0,0,75,75,0,0
0,0,0,0,75,75,75,75,75,75,0,127,0,0,0,0,75,75
0,2,0,2,75,75,75,75,75,75,127,0,0,0,0,0,75,75
75,75,0,0,0,0,75,75,0,0,0,0,0,127,75,75,75,75
75,75,0,2,0,2,75,75,0,0,0,0,127,0,75,75,75,75
0,0,75,75,0,0,0,0,75,75,0,0,75,75,0,127,75,75
0,2,75,75,0,2,0,0,75,75,0,0,75,75,127,0,75,75
0,0,0,0,75,75,0,0,0,0,75,75,75,75,75,75,0,127
0,2,0,2,75,75,0,0,0,0,75,75,75,75,75,75,127,0
