-1000,1000,1000,1000,1000,4,0,4,1000,5,0,5,1000,5,0,5
0,-1000,1000,1000,4,1000,4,0,5,1000,5,0,5,1000,5,0
0,0,-1000,1000,0,4,1000,4,0,5,1000,5,0,5,1000,5
0,0,0,-1000,4,0,4,1000,5,0,5,1000,5,0,5,1000
0,0,0,0,-1000,1000,1000,1000,1000,1,0,1,1000,1,0,1
0,0,0,0,0,-1000,1000,1000,1,1000,1,0,1,1000,1,0
0,0,0,0,0,0,-1000,1000,0,1,1000,1,0,1,1000,1
0,0,0,0,0,0,0,-1000,1,0,1,1000,1,0,1,1000
0,0,0,0,0,0,0,0,-1000,1000,1000,1000,1000,1,0,1
0,0,0,0,0,0,0,0,0,-1000,1000,1000,1,1000,1,0
0,0,0,0,0,0,0,0,0,0,-1000,1000,0,1,1000,1
0,0,0,0,0,0,0,0,0,0,0,-1000,1,0,1,1000
0,0,0,0,0,0,0,0,0,0,0,0,-1000,1000,1000,1000
0,0,0,0,0,0,0,0,0,0,0,0,0,-1000,1000,1000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1000,1000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1000
