0,127,127,127,127,2,0,2,127,2,0,2,127,2,0,2,127
127,0,127,127,2,127,2,0,2,127,2,0,2,127,2,0,127
127,127,0,127,0,2,127,2,0,2,127,2,0,2,127,2,127
127,127,127,0,2,0,2,127,2,0,2,127,2,0,2,127,127
127,2,0,2,0,127,127,127,127,0,0,0,127,0,0,0,127
2,127,2,0,127,0,127,127,0,127,0,0,0,127,0,0,127
0,2,127,2,127,127,0,127,0,0,127,0,0,0,127,0,127
2,0,2,127,127,127,127,0,0,0,0,127,0,0,0,127,127
127,2,0,2,127,0,0,0,0,127,127,127,127,0,0,0,127
2,127,2,0,0,127,0,0,127,0,127,127,0,127,0,0,127
0,2,127,2,0,0,127,0,127,127,0,127,0,0,127,0,127
2,0,2,127,0,0,0,127,127,127,127,0,0,0,0,127,127
127,2,0,2,127,0,0,0,127,0,0,0,0,127,127,127,127
2,127,2,0,0,127,0,0,0,127,0,0,127,0,127,127,127
0,2,127,2,0,0,127,0,0,0,127,0,127,127,0,127,127
2,0,2,127,0,0,0,127,0,0,0,127,127,127,127,0,127
127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,0
